wood_id;storage_location;length;width;height;weight;density;volume;type;info;;color;source
237;B2;1611;29;19;600;0,000675934;887661;hardwood;;;180,160,325;robotlab
238;B2;1755;51;11;950;0,000964903;984555;hardwood;;;180,160,326;robotlab
239;B2;1990;27;21;750;0,000664699;1128330;hardwood;;;180,160,327;robotlab
240;B2;1855;26;25;750;0,000622019;1205750;hardwood;;;180,160,328;robotlab
241;B3;1835;48;9;550;0,000693814;792720;hardwood;;;180,160,329;robotlab
242;B3;1790;40;10;500;0,000698324;716000;hardwood;;;180,160,330;robotlab
243;B3;1714;30;22;750;0,000662989;1131240;hardwood;;;180,160,331;robotlab
244;B3;1794;29;22;650;0,000567898;1144572;hardwood;;;180,160,332;robotlab
245;B3;1507;40;12;450;0,000622097;723360;hardwood;;;180,160,333;robotlab
246;B3;1713;27;18;600;0,000720705;832518;hardwood;;;180,160,334;robotlab
247;B3;1153;25;22;400;0,000630766;634150;hardwood;;;180,160,335;robotlab
248;B3;1824;58;15;1000;0,000630167;1586880;hardwood;;;180,160,336;robotlab
249;B3;1255;48;16;850;0,000881889;963840;hardwood;;;180,160,337;robotlab
250;B3;1430;24;16;450;0,000819493;549120;hardwood;;;180,160,338;robotlab
251;B3;1709;35;18;650;0,000603713;1076670;hardwood;;;180,160,339;robotlab
252;B3;1707;40;11;500;0,000665708;751080;hardwood;;;180,160,340;robotlab
