color;density;height;id;image;info;intake_id;is_fire_treaded;is_planed;is_straight;label;length;name;paint;price;project_type;reservation_name;reservation_time;reserved;source;storage_location;timestamp;type;weight;width;wood_id;wood_species;
161,151,138;;14;51;;Perfect;;;;;;839;;;;;;;;;C12;;;300;73;;;
141,128,117;;40;288;;Damaged;;;;;;834;;;;;;;;;C12;;;1100;45;;;
188,178,162;;36;69;;Perfect;;;;;;825;;;;;;;;;C12;;;1000;49;;;
131,121,108;;20;83;;Perfect;;;;;;825;;;;;;;;;C12;;;950;100;;;
155,105,66;;18;252;;Perfect;;;;;;825;;;;;;;;;C12;;;1500;99;;;
126,96,56;;39;290;;Perfect;;;;;;813;;;;;;;;;C12;;;1200;101;;;
169,140,102;;44;140;;Needs cut + Hole;;;;;;812;;;;;;;;;C12;;;900;44;;;
154,140,127;;37;60;;Perfect;;;;;;810;;;;;;;;;C13;;;1200;73;;;
154,145,133;;26;137;;Needs cut;;;;;;805;;;;;;;;;C13;;;450;51;;;
136, 89, 48;;71;303;;Perfect;;;;;;805;;;;;;;;;C17;;;2500;71;;;
138,128,115;;22;160;;Damaged;;;;;;800;;;;;;;;;C13;;;300;40;;;
159,149,137;;34;156;;Hole;;;;;;800;;;;;;;;;C13;;;500;43;;;
129,96,51;;20;132;;Damaged;;;;;;800;;;;;;;;;C13;;;600;45;;;
177,123,80;;29;274;;Perfect;;;;;;799;;;;;;;;;C13;;;450;30;;;
160, 110, 77;;58.5;258;;Perfect;;;;;;783;;;;;;;;;C13;;;2600;70;;;
187,120,65;;55;354;;Groove;;;;;;777;;;;;;;;;C13;;;1700;60;;;
132,100,78;;38;289;;Perfect;;;;;;771;;;;;;;;;C14;;;800;49;;;
110,73,56;;23;331;;Perfect;;;;;;754;;;;;;;;;C14;;;550;40;;;
162,152,141;;27;35;;Perfect;;;;;;753;;;;;;;;;C14;;;1350;115;;;
165,163,156;;17;382;;Hole;;;;;;736;;;;;;;;;C14;;;950;138;;;
148, 95, 52;;57;367;;Perfect;;;;;;734;;;;;;;;;C14;;;2200;70;;;
174,131,82;;18;270;;Damaged;;;;;;722;;;;;;;;;C15;;;1400;56;;;
117,71,44;;20;359;;Perfect;;;;;;719;;;;;;;;;C15;;;450;40;;;
156, 136, 111;;15;356;;Perfect;;;;;;708;;;;;;;;;C15;;;700;91;;;
173,163,141;;21;361;;Perfect;;;;;;698;;;;;;;;;C15;;;450;74;;;
168,160,143;;21;357;;Perfect;;;;;;697;;;;;;;;;C15;;;500;74;;;
96,63,39;;18;257;;Perfect;;;;;;690;;;;;;;;;C15;;;850;65;;;
205, 167, 133;;20;364;;missing a part;;;;;;685;;;;;;;;;C15;;;1150;160;;;
184,143,98;;26;456;;Perfect;;;;;;672;;;;;;;;;C15;;;450;44;;;
166,151,124;;36;365;;Perfect;;;;;;666;;;;;;;;;C16;;;1250;88;;;
144,109,71;;14;437;;Needs cut;;;;;;665;;;;;;;;;C16;;;300;49;;;
157,121,89;;36;369;;Perfect;;;;;;656;;;;;;;;;C16;;;1300;92;;;
145, 91, 53;;18;360;;Perfect;;;;;;654;;;;;;;;;C16;;;800;65;;;
202, 147, 93;;26;394;;Perfect;;;;;;650;;;;;;;;;C16;;;950;144;;;
159, 114, 61;;14;374;;Perfect;;;;;;634;;;;;;;;;C16;;;450;77;;;
185,172,149;;44;366;;Perfect;;;;;;632;;;;;;;;;C17;;;1700;143;;;
176,148,117;;20;358;;Perfect;;;;;;627;;;;;;;;;C17;;;1000;117;;;
121,78,56;;29;396;;Perfect;;;;;;620;;;;;;;;;C17;;;850;44;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
