color;density;height;id;image;info;intake_id;is_fire_treaded;is_planed;is_straight;label;length;name;paint;price;project_type;reservation_name;reservation_time;reserved;source;storage_location;timestamp;type;weight;width;wood_id;wood_species;
173, 153, 129;;32;115;;perfect;;;;;;1286;;;;;;;;;A3;;;1000;43;;;
103, 71, 46;;24;302;;perfect;;;;;;1276;;;;;;;;;A3;;;1200;40;;;
147, 135,120;;21;312;;perfect;;;;;;1270;;;;;;;;;A3;;;500;25;;;
121, 66, 40;;16;249;;perfect;;;;;;1255;;;;;;;;;A3;;;850;48;;;
144, 133, 119;;20;217;;missing a part;;;;;;1250;;;;;;;;;A4;;;450;35;;;
140, 132, 119;;33;90;;perfect;;;;;;1244;;;;;;;;;A4;;;900;44;;;
138, 124, 107;;10.7;260;;missing a part;;;;;;1243;;;;;;;;;A4;;;800;69;;;
145, 102, 65;;22;339;;perfect;;;;;;1240;;;;;;;;;A4;;;1300;65;;;
122, 85, 59;;21;223;;perfect;;;;;;1240;;;;;;;;;A4;;;450;32;;;
167,126,90;;33;264;;not perfect;;;;;;1238;;;;;;;;;A4;;;3750;130;;;
129, 110, 98;;27;321;;perfect;;;;;;1230;;;;;;;;;A4;;;600;44;;;
110, 82, 68;;6;218;;missing a part;;;;;;1230;;;;;;;;;A4;;;250;43;;;
148, 140, 124;;19;40;;missing a part;;;;;;1230;;;;;;;;;A4;;;1350;79;;;
143, 118, 97;;15;175;;missing a part;;;;;;1220;;;;;;;;;A4;;;300;26;;;
134, 128, 118;;53;62;;perfect;;;;;;1220;;;;;;;;;A4;;;1450;59;;;
178, 161, 140;;19;123;;perfect;;;;;;1217;;;;;;;;;A4;;;600;74;;;
155, 93, 41;;37;64;;missing a part;;;;;;1210;;;;;;;;;A4;;;2700;101;;;
159, 122, 96;;11;92;;perfect;;;;;;1205;;;;;;;;;A4;;;350;50;;;
162, 124, 93;;12;153;;Chipped;;;;;;1200;;;;;;;;;A4;;;350;50;;;
163,129,91;;43;37;;Perfect;;;;;;1199;;;;;;;;;C1;;;2500;73;;;
187, 178, 165;;50;47;;Perfect;;;;;;1197;;;;;;;;;C1;;;1900;50;;;
126,92,54;;22;343;;Perfect;;;;;;1197;;;;;;;;;C1;;;450;25;;;
154,108,66;;38;347;;Perfect;;;;;;1194;;;;;;;;;C1;;;1950;53;;;
140,107,67;;19;341;;Perfect;;;;;;1193;;;;;;;;;C1;;;600;41;;;
150,129,106;;20;163;;Needs cut;;;;;;1190;;;;;;;;;C1;;;350;35;;;
114,81,52;;17;304;;Perfect;;;;;;1177;;;;;;;;;C1;;;600;40;;;
101,67,44;;27;326;;Perfect;;;;;;1171;;;;;;;;;C1;;;1100;34;;;
147,128,104;;15;216;;Needs cut;;;;;;1170;;;;;;;;;C1;;;400;31;;;
161,130,97;;20;117;;chamfer;;;;;;1170;;;;;;;;;C1;;;850;55;;;
184,169,141;;12;26;;groves;;;;;;1168;;;;;;;;;C1;;;650;126;;;
180,158,119;;23;36;;groves;;;;;;1165;;;;;;;;;C2;;;1400;91;;;
159,142,115;;12;25;;groves;;;;;;1165;;;;;;;;;C2;;;700;125;;;
140,106,59;;30;340;;Perfect;;;;;;1164;;;;;;;;;C2;;;1450;60;;;
105,62,39;;24;299;;Perfect;;;;;;1163;;;;;;;;;C2;;;1900;68;;;
106, 66, 30;;33;71;;Perfect;;;;;;1154;;;;;;;;;C2;;;700;50;;;
180,178,128;;31;105;;Perfect;;;;;;1153;;;;;;;;;C2;;;900;43;;;
95,57,34;;22;247;;Perfect;;;;;;1153;;;;;;;;;C2;;;400;25;;;
151,121,89;;9;49;;Unusable;;;;;;1150;;;;;;;;;C2;;;650;63;;;
112, 79, 54;;24;122;;Needs cut;;;;;;1150;;;;;;;;;C2;;;700;46;;;
179, 139, 95;;20;349;;Perfect;;;;;;1150;;;;;;;;;C3;;;600;40;;;
113,85,51;;19;266;;unusable;;;;;;1149;;;;;;;;;C3;;;2250;73;;;
132,110,87;;30;126;;Perfect;;;;;;1133;;;;;;;;;C3;;;700;35;;;
152,107,69;;24;109;;Damaged;;;;;;1104;;;;;;;;;C3;;;900;64;;;
151,138,122;;25;128;;Damaged;;;;;;1092;;;;;;;;;C3;;;500;40;;;
179, 169, 149;;40;275;;Perfect;;;;;;1090;;;;;;;;;C3;;;1250;69;;;
143,120,95;;25;293;;Perfect;;;;;;1087;;;;;;;;;C3;;;750;54;;;
138,99,59;;29;324;;Perfect;;;;;;1085;;;;;;;;;C3;;;700;33;;;
179,159,125;;12;23;;Cracked;;;;;;1079;;;;;;;;;C3;;;600;113;;;
162,108,67;;32;332;;Perfect;;;;;;1077;;;;;;;;;C4;;;1650;65;;;
151,107,68;;24;89;;Perfect;;;;;;1077;;;;;;;;;C4;;;900;63;;;
167,158,145;;43;9;;Perfect;;;;;;1075;;;;;;;;;C4;;;3050;143;;;
165,156,141;;20;93;;Perfect;;;;;;1074;;;;;;;;;C4;;;850;56;;;
156,131,100;;40;119;;Perfect;;;;;;1070;;;;;;;;;C4;;;1300;52;;;
129,90,53;;29;330;;Perfect;;;;;;1058;;;;;;;;;C4;;;700;32;;;
151,116,80;;30;125;;Perfect;;;;;;1050;;;;;;;;;C4;;;650;34;;;
155,134,111;;26;135;;Perfect;;;;;;1050;;;;;;;;;C4;;;500;34;;;
